cName,cID,population
Aruba,AW,106.766
Jersey,JEY,98.07
Monaco,MCO,39.242
Niue,NIU,1.626
Nauru,NRU,10.824000000000002
Faroe Islands,FRO,48.863
Kiribati,KIR,119.449
Anguilla,AIA,15.003
Tonga,TON,105.695
American Samoa,ASM,55.191
Antigua and Barbuda,ATG,97.929
British Indian Ocean Territory,IOT,3.0
Tuvalu,TUV,11.792
Puerto Rico,PRI,2860.853
Cook Islands,COK,17.564
San Marino,SMR,33.931
French Guiana,GUF,298.682
British Virgin Islands,VGB,30.230999999999998
United States Virgin Islands,VIR,104.425
Fiji,FJI,896.445
Belize,BLZ,397.62800000000004
Cayman Islands,CYM,65.722
Guernsey,GGY,67.05199999999999
Samoa,WSM,198.41400000000002
Marshall Islands,MHL,59.19
Gibraltar,GIB,33.691
Liechtenstein,LIE,38.128
Curacao,CUW,164.093
Macau,MAC,649.335
Turks and Caicos Islands,TCA,38.717
Andorra,AND,77.265
Saint Kitts and Nevis,KNA,53.199
Bermuda,BMU,62.278
Isle of Man,IMN,85.03299999999999
Denmark,DNK,5792.201999999999
New Zealand,NZL,4822.233
Finland,FIN,5540.72
Singapore,SGP,5850.342
Sweden,SWE,10099.265
Switzerland,CHE,8654.622
Norway,NOR,5421.241
Netherlands,NLD,17134.872
Canada,CAN,37742.154
Luxembourg,LUX,625.9780000000001
Germany,DEU,83783.942
United Kingdom,GBR,67886.011
Australia,AUS,25499.884
Austria,AUT,9006.398000000001
Hong Kong,HKG,7496.981
Iceland,ISL,341.24300000000005
Belgium,BEL,11589.623
Estonia,EST,1326.535
Ireland,IRL,4937.786
Japan,JPN,126476.461
France,FRA,65273.511
United States of America,USA,331002.651
United Arab Emirates,ARE,9890.402
Uruguay,URY,3473.73
Barbados,BRB,287.375
Bhutan,BTN,771.6080000000001
Chile,CHL,19116.201
Seychelles,SYC,98.34700000000001
Bahamas,BHS,393.244
Portugal,PRT,10196.709
Brunei Darussalam,BRN,437.47900000000004
Taiwan,TWN,23816.775
Qatar,QAT,2881.053
Botswana,BWA,2351.627
Israel,ISR,8655.535
Poland,POL,37846.611000000004
Slovenia,SVN,2078.938
Cyprus,CYP,1207.359
Czech Republic,CZE,10708.981000000002
Lithuania,LTU,2722.289
Georgia,GEO,3989.167
Latvia,LVA,1886.1979999999999
Saint Vincent and the Grenadines,VCT,110.94
Spain,ESP,46754.778
Cabo Verde,CPV,555.987
Dominica,DMA,71.986
South Korea,KOR,51269.185
Costa Rica,CRI,5094.1179999999995
Rwanda,RWA,12952.218
Saint Lucia,LCA,183.627
Malta,MLT,441.543
Namibia,NAM,2540.905
Grenada,GRD,112.523
Italy,ITA,60461.825999999994
Oman,OMN,5106.626
Mauritius,MUS,1271.768
Slovakia,SVK,5459.642
Jordan,JOR,10203.134
Saudi Arabia,SAU,34813.871
Croatia,HRV,4105.267
Cuba,CUB,11326.616000000002
Malaysia,MYS,32365.999
Romania,ROU,19237.691000000003
Hungary,HUN,9660.351
Sao Tome and Principe,STP,219.15900000000002
Vanuatu,VUT,307.145
Greece,GRC,10423.054
Montenegro,MNE,628.066
Senegal,SEN,16743.927
Belarus,BLR,9449.323
Jamaica,JAM,2961.167
Solomon Islands,SLB,686.8839999999999
Morocco,MAR,36910.56
South Africa,ZAF,59308.69
Suriname,SUR,586.632
Tunisia,TUN,11818.618999999999
Bulgaria,BGR,6948.445
Burkina Faso,BFA,20903.273
Ghana,GHA,31072.94
India,IND,1380004.385
Kuwait,KWT,4270.571
Lesotho,LSO,2142.249
Trinidad and Tobago,TTO,1399.4879999999998
Turkey,TUR,84339.067
Argentina,ARG,45195.774000000005
Benin,BEN,12123.2
China,CHN,1439323.7759999998
Serbia,SRB,8737.371
Bosnia and Herzegovina,BIH,3280.8190000000004
Indonesia,IDN,273523.615
Sri Lanka,LKA,21413.249
Swaziland,SWZ,1160.164
Gambia,GMB,2416.6679999999997
Guyana,GUY,786.552
Kosovo,KSV,1810.0
Macedonia,MKD,2083.374
Mongolia,MNG,3278.29
Panama,PAN,4314.767
Albania,ALB,2877.797
Bahrain,BHR,1701.575
Colombia,COL,50882.890999999996
Philippines,PHL,109581.07800000001
Tanzania,TZA,59734.218
Thailand,THA,69799.978
Algeria,DZA,43851.044
Armenia,ARM,2963.243
Brazil,BRA,212559.417
Cote d'Ivoire,CIV,26378.273999999998
Egypt,EGY,102334.40400000001
El Salvador,SLV,6486.205
Peru,PER,32971.854
Timor-Leste,TLS,1318.445
Zambia,ZMB,18383.955
Ecuador,ECU,17643.054
Ethiopia,ETH,114963.588
Niger,NER,24206.644
Moldova,MDA,4033.9629999999997
Pakistan,PAK,220892.34
Vietnam,VNM,97338.579
Liberia,LBR,5057.681
Malawi,MWI,19129.952
Mali,MLI,20250.833
Ukraine,UKR,43733.762
Djibouti,DJI,988.0
Gabon,GAB,2225.734
Kazakhstan,KAZ,18776.707
Maldives,MDV,540.544
Nepal,NPL,29136.807999999997
Dominican Republic,DOM,10847.91
Sierra Leone,SLE,7976.983
Togo,TGO,8278.724
Bolivia,BOL,11673.021
Honduras,HND,9904.607
Kyrgyzstan,KGZ,6524.195
Laos,LAO,7275.56
Myanmar,MMR,54409.8
Paraguay,PRY,7132.5380000000005
Guinea,GIN,13132.795
Iran,IRN,83992.94900000001
Lebanon,LBN,6825.445
Mexico,MEX,128932.75300000001
Papua New Guinea,PNG,8947.024
Russia,RUS,145934.462
Comoros,COM,869.6010000000001
Guatemala,GTM,17915.568
Kenya,KEN,53771.295999999995
Mauritania,MRT,4649.657999999999
