hdiRank,cName
170,Afghanistan
69,Albania
82,Algeria
36,Andorra
149,Angola
74,Antigua and Barbuda
48,Argentina
81,Armenia
6,Australia
20,Austria
87,Azerbaijan
60,Bahamas
45,Bahrain
135,Bangladesh
56,Barbados
50,Belarus
17,Belgium
103,Belize
163,Benin
134,Bhutan
114,Bolivia (Plurinational State of)
75,Bosnia and Herzegovina
94,Botswana
79,Brazil
43,Brunei Darussalam
52,Bulgaria
182,Burkina Faso
185,Burundi
126,Cabo Verde
146,Cambodia
150,Cameroon
13,Canada
188,Central African Republic
187,Chad
42,Chile
85,China
79,Colombia
156,Comoros
138,Congo
179,Congo (Democratic Republic of the)
68,Costa Rica
46,Croatia
72,Cuba
31,Cyprus
26,Czechia
165,Côte d'Ivoire
11,Denmark
171,Djibouti
98,Dominica
89,Dominican Republic
85,Ecuador
116,Egypt
124,El Salvador
144,Equatorial Guinea
182,Eritrea
30,Estonia
138,Eswatini (Kingdom of)
173,Ethiopia
98,Fiji
12,Finland
26,France
115,Gabon
174,Gambia
70,Georgia
4,Germany
142,Ghana
32,Greece
78,Grenada
126,Guatemala
174,Guinea
178,Guinea-Bissau
123,Guyana
169,Haiti
132,Honduras
4,"Hong Kong, China (SAR)"
43,Hungary
6,Iceland
129,India
111,Indonesia
65,Iran (Islamic Republic of)
120,Iraq
3,Ireland
22,Israel
29,Italy
96,Jamaica
19,Japan
102,Jordan
50,Kazakhstan
147,Kenya
132,Kiribati
22,Korea (Republic of)
57,Kuwait
122,Kyrgyzstan
140,Lao People's Democratic Republic
39,Latvia
93,Lebanon
164,Lesotho
176,Liberia
110,Libya
18,Liechtenstein
34,Lithuania
21,Luxembourg
162,Madagascar
172,Malawi
61,Malaysia
104,Maldives
184,Mali
28,Malta
117,Marshall Islands
161,Mauritania
66,Mauritius
76,Mexico
135,Micronesia (Federated States of)
107,Moldova (Republic of)
92,Mongolia
52,Montenegro
121,Morocco
180,Mozambique
145,Myanmar
130,Namibia
147,Nepal
10,Netherlands
14,New Zealand
126,Nicaragua
189,Niger
158,Nigeria
82,North Macedonia
1,Norway
47,Oman
152,Pakistan
55,Palau
119,"Palestine, State of"
67,Panama
155,Papua New Guinea
98,Paraguay
82,Peru
106,Philippines
32,Poland
40,Portugal
41,Qatar
52,Romania
49,Russian Federation
157,Rwanda
73,Saint Kitts and Nevis
89,Saint Lucia
94,Saint Vincent and the Grenadines
111,Samoa
137,Sao Tome and Principe
36,Saudi Arabia
166,Senegal
63,Serbia
62,Seychelles
181,Sierra Leone
9,Singapore
36,Slovakia
24,Slovenia
153,Solomon Islands
113,South Africa
186,South Sudan
25,Spain
71,Sri Lanka
168,Sudan
98,Suriname
8,Sweden
2,Switzerland
154,Syrian Arab Republic
125,Tajikistan
159,Tanzania (United Republic of)
77,Thailand
131,Timor-Leste
167,Togo
105,Tonga
63,Trinidad and Tobago
91,Tunisia
59,Turkey
108,Turkmenistan
159,Uganda
88,Ukraine
35,United Arab Emirates
15,United Kingdom
15,United States
57,Uruguay
108,Uzbekistan
141,Vanuatu
96,Venezuela (Bolivarian Republic of)
118,Viet Nam
177,Yemen
143,Zambia
150,Zimbabwe
