cName,population
China,1439323.776
India,1380004.385
United States of America,331002.651
Indonesia,273523.615
Pakistan,220892.34
Brazil,212559.417
Nigeria,206139.589
Bangladesh,164689.383
Russia,145934.462
Mexico,128932.753
Japan,126476.461
Ethiopia,114963.588
Philippines,109581.078
Egypt,102334.404
Vietnam,97338.579
Democratic Republic of the Congo,89561.403
Turkey,84339.067
Iran,83992.949
Germany,83783.942
Thailand,69799.978
United Kingdom,67886.011
France,65273.511
Italy,60461.826
Tanzania,59734.218
South Africa,59308.69
Myanmar,54409.8
Kenya,53771.296
South Korea,51269.185
Colombia,50882.891
Spain,46754.778
Uganda,45741.007
Argentina,45195.774
Algeria,43851.044
Sudan,43849.26
Ukraine,43733.762
Iraq,40222.493
Afghanistan,38928.346
Poland,37846.611
Canada,37742.154
Morocco,36910.56
Saudi Arabia,34813.871
Uzbekistan,33469.203
Peru,32971.854
Angola,32866.272
Malaysia,32365.999
Mozambique,31255.435
Ghana,31072.94
Yemen,29825.964
Nepal,29136.808
Venezuela,28435.94
Madagascar,27691.018
Cameroon,26545.863
Cote d'Ivoire,26378.274
North Korea,25778.816
Australia,25499.884
Niger,24206.644
Taiwan,23816.775
Sri Lanka,21413.249
Burkina Faso,20903.273
Mali,20250.833
Romania,19237.691
Malawi,19129.952
Chile,19116.201
Kazakhstan,18776.707
Zambia,18383.955
Guatemala,17915.568
Ecuador,17643.054
Syria,17500.658
Netherlands,17134.872
Senegal,16743.927
Cambodia,16718.965
Chad,16425.864
Somalia,15893.222
Zimbabwe,14862.924
Guinea,13132.795
Rwanda,12952.218
Benin,12123.2
Burundi,11890.784
Tunisia,11818.619
Bolivia,11673.021
Belgium,11589.623
Haiti,11402.528
Cuba,11326.616
South Sudan,11193.725
Dominican Republic,10847.91
Czech Republic,10708.981
Greece,10423.054
Jordan,10203.134
Portugal,10196.709
Azerbaijan,10139.177
Sweden,10099.265
Honduras,9904.607
United Arab Emirates,9890.402
Hungary,9660.351
Tajikistan,9537.645
Belarus,9449.323
Austria,9006.398
Papua New Guinea,8947.024
Serbia,8737.371
Israel,8655.535
Switzerland,8654.622
Togo,8278.724
Sierra Leone,7976.983
Hong Kong,7496.981
Laos,7275.56
Paraguay,7132.538
Bulgaria,6948.445
Libya,6871.292
Lebanon,6825.445
Nicaragua,6624.554
Kyrgyzstan,6524.195
El Salvador,6486.205
Turkmenistan,6031.2
Singapore,5850.342
Denmark,5792.202
Finland,5540.72
Congo,5518.087
Slovakia,5459.642
Norway,5421.241
Oman,5106.626
Palestine,5101.414
Costa Rica,5094.118
Liberia,5057.681
Ireland,4937.786
Central African Republic,4829.767
New Zealand,4822.233
Mauritania,4649.658
Panama,4314.767
Kuwait,4270.571
Croatia,4105.267
Moldova,4033.963
Georgia,3989.167
Eritrea,3546.421
Uruguay,3473.73
Bosnia and Herzegovina,3280.819
Mongolia,3278.29
Armenia,2963.243
Jamaica,2961.167
Qatar,2881.053
Albania,2877.797
Puerto Rico,2860.853
Lithuania,2722.289
Namibia,2540.905
Gambia,2416.668
Botswana,2351.627
Gabon,2225.734
Lesotho,2142.249
Macedonia,2083.374
Slovenia,2078.938
Guinea-Bissau,1968.001
Latvia,1886.198
Kosovo,1810.0
Bahrain,1701.575
Equatorial Guinea,1402.985
Trinidad and Tobago,1399.488
Estonia,1326.535
Timor-Leste,1318.445
Mauritius,1271.768
Cyprus,1207.359
Swaziland,1160.164
Djibouti,988
Fiji,896.445
Reunion,895.312
Comoros,869.601
Guyana,786.552
Bhutan,771.608
Solomon Islands,686.884
Macau,649.335
Montenegro,628.066
Luxembourg,625.978
Western Sahara,597.339
Suriname,586.632
Cabo Verde,555.987
Maldives,540.544
Malta,441.543
Brunei Darussalam,437.479
Guadeloupe,400.124
Belize,397.628
Bahamas,393.244
Martinique,375.265
Iceland,341.243
Vanuatu,307.145
French Guiana,298.682
Barbados,287.375
New Caledonia,285.498
French Polynesia,280.908
Mayotte,272.815
Sao Tome and Principe,219.159
Samoa,198.414
Saint Lucia,183.627
Guam,168.775
Curacao,164.093
Kiribati,119.449
Micronesia,115.023
Grenada,112.523
Saint Vincent and the Grenadines,110.94
Aruba,106.766
Tonga,105.695
United States Virgin Islands,104.425
Seychelles,98.347
Jersey,98.07
Antigua and Barbuda,97.929
Isle of Man,85.033
Andorra,77.265
Dominica,71.986
Guernsey,67.052
Cayman Islands,65.722
Bermuda,62.278
Marshall Islands,59.19
Northern Mariana Islands,57.559
Greenland,56.77
American Samoa,55.191
Saint Kitts and Nevis,53.199
Faroe Islands,48.863
Sint Maarten,42.876
Monaco,39.242
Turks and Caicos Islands,38.717
Saint Martin,38.666
Liechtenstein,38.128
San Marino,33.931
Gibraltar,33.691
British Virgin Islands,30.231
Palau,18.094
Cook Islands,17.564
Anguilla,15.003
Tuvalu,11.792
Wallis and Futuna,11.239
Nauru,10.824
Saint Barthelemy,9.877
Saint Pierre and Miquelon,5.794
Montserrat,4.992
Falkland Islands,3.48
British Indian Ocean Territory,3.00
Niue,1.626
Tokelau,1.357
Vatican City,0.801
